epoch,train_acc,train_loss,val_acc,val_loss
1,0.5757575757575758,0.6666767883300782,0.8636363636363636,0.31855010986328125
2,0.9558080808080808,0.1892135238647461,0.9772727272727273,0.08176732063293457
3,0.98989898989899,0.047887521982192996,1.0,0.012301743030548096
4,0.9936868686868687,0.03856336116790771,0.9659090909090909,0.0721605122089386
5,0.9962121212121212,0.02235401511192322,0.9886363636363636,0.05591159065564474
